date,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,latitude,longitude
2010-04-01,11.231084,45718.156,42452.266,0.0,41.79261779785156,-72.2608642578125
2010-04-01,5.4675827,46308.477,39650.918,3.7000003,48.47100067138672,-122.52099609375
2010-04-01,11.828666,45172.11,41495.51,1.0,33.91915512084961,-118.39152526855469
2010-04-01,20.512001,45024.516,41358.4,0.0,31.458698272705078,-98.49462890625
2010-04-01,10.49675,45768.133,42251.52,0.0,42.4253044128418,-76.51980590820312
2010-04-01,11.906417,45103.51,35654.68,8.1,32.794376373291016,-117.17604064941406
2010-04-01,24.583334,44805.484,41541.67,0.0,27.5219669342041,-99.47366333007812
2010-04-01,14.047085,45669.23,41552.582,0.0,41.15992736816406,-80.85836791992188
2010-04-01,17.11225,45729.168,42462.93,0.0,41.9332160949707,-87.64535522460938
2010-04-01,15.54475,45768.133,42475.8,0.0,42.4253044128418,-87.88546752929688
2010-04-01,17.225252,44940.098,42146.28,0.0,29.982423782348633,-90.20977783203125
2010-04-01,16.914835,45518.234,41739.848,0.0,39.12126541137695,-84.5604248046875
2010-04-01,18.268751,44885.38,41259.492,0.0,28.998241424560547,-80.91741943359375
2010-04-01,-2.5759165,46131.727,40821.375,0.6,46.64323043823242,-121.88406372070312
2010-04-01,21.248919,44967.918,35384.797,0.0,30.474515914916992,-99.729736328125
2010-04-01,17.018583,45819.207,42492.348,0.0,43.0579948425293,-89.33035278320312
2010-04-01,19.958418,45099.29,39467.453,0.0,32.72407531738281,-96.81317138671875
2010-04-01,7.4893336,45558.918,42410.492,4.3,39.68365478515625,-105.0
2010-04-01,16.684584,44959.934,41563.24,0.0,30.33391761779785,-84.30245971679688
2010-04-01,13.716916,45734.695,42464.77,0.0,42.00351333618164,-87.77291870117188
2010-04-01,8.35175,45424.367,31185.469,3.9,37.785587310791016,-122.40963745117188
2010-04-01,18.6865,45663.855,42440.875,0.0,41.089630126953125,-87.81427001953125
2010-04-01,20.387247,45538.49,41807.258,0.0,39.40245819091797,-93.35635375976562
2010-04-01,11.133666,45642.49,42488.895,0.0,40.808433532714844,-73.76422119140625
2010-04-01,17.205751,44940.098,42146.28,0.0,29.982423782348633,-90.20977783203125
2010-04-01,18.618414,45701.734,41896.98,0.0,41.581722259521484,-93.6363525390625
2010-04-01,18.577833,44728.02,41421.33,0.0,26.045692443847656,-80.15316772460938
2010-04-01,5.7032504,45202.758,42090.574,3.7999997,34.41124725341797,-117.28302001953125
2010-04-01,19.827082,45103.51,39471.957,0.0,32.794376373291016,-96.82150268554688
2010-04-01,15.480166,45518.234,41353.023,0.0,39.12126541137695,-83.07693481445312
2010-04-01,18.488333,45099.29,41958.426,0.0,32.72407531738281,-92.19781494140625
2010-04-01,8.717751,45762.527,39764.11,0.0,42.35500717163086,-71.12905883789062
2010-04-01,9.132251,45745.79,42527.367,0.0,42.14411163330078,-74.36495971679688
2010-04-01,8.416249,45762.527,39764.11,0.0,42.35500717163086,-71.12905883789062
2010-04-01,18.210417,44881.516,41142.04,0.0,28.927942276000977,-81.3402099609375
2010-04-01,5.554584,46204.914,42623.562,0.0,47.41651916503906,-120.24589538574219
2010-04-01,21.591833,45086.664,41382.93,0.0,32.513179779052734,-98.54013061523438
2010-04-01,16.463583,44963.92,41562.406,0.0,30.404216766357422,-84.2957763671875
2010-04-01,21.598833,45310.95,41307.617,0.0,36.09841537475586,-97.12063598632812
2010-04-01,16.497168,44944.05,41619.918,0.0,30.052722930908203,-84.53909301757812
2010-04-01,12.071332,45172.11,41495.51,1.0,33.91915512084961,-118.39152526855469
2010-04-01,20.561918,44908.684,39448.812,0.0,29.420034408569336,-98.6258544921875
2010-04-01,9.95,45790.69,41616.438,0.0,42.70650100708008,-71.38845825195312
2010-04-01,16.597332,45819.207,42492.344,0.0,43.0579948425293,-89.59823608398438
2010-04-01,19.491833,45478.25,42374.6,0.0,38.55887222290039,-90.36685180664062
2010-04-01,16.782667,45685.42,41532.4,0.0,41.37082290649414,-83.663818359375
2010-04-01,5.1856666,46073.473,42585.72,0.2,46.01054382324219,-118.42855834960938
2010-04-01,20.482584,44908.684,39480.414,0.0,29.420034408569336,-98.72979736328125
2010-04-01,19.320581,45061.613,40418.867,0.0,32.09138870239258,-97.06521606445312
2010-04-01,0.06591666,45637.17,29724.338,0.79999995,40.738136291503906,-111.95744323730469
2010-04-01,15.626748,45498.156,41492.094,0.0,38.84006881713867,-82.25408935546875
2010-04-01,19.741999,45129.008,40643.562,0.0,33.21616744995117,-97.20443725585938
2010-04-01,12.082833,45712.668,42515.203,0.0,41.72231674194336,-72.67730712890625
2010-04-01,4.559334,46029.14,39600.0,2.9999998,45.51845169067383,-122.49607849121094
2010-04-01,17.3835,44996.05,41744.617,0.0,30.96660614013672,-92.98577880859375
2010-04-01,11.4705,45251.73,42156.344,2.8000002,35.184532165527344,-106.53062438964844
2010-04-01,8.6657505,45756.934,42194.688,0.0,42.28470993041992,-71.15667724609375
2010-04-01,6.085333,46171.37,41175.32,0.3,47.065025329589844,-122.92683410644531
2010-04-01,8.07225,45424.367,31185.469,5.9999995,37.785587310791016,-122.40963745117188
2010-04-01,20.172167,44963.92,40237.24,0.0,30.404216766357422,-97.71127319335938
2010-04-01,13.489083,45631.875,41453.023,0.0,40.6678352355957,-80.56658935546875
2010-04-01,17.001917,45796.367,39110.62,0.0,42.776798248291016,-95.59170532226562
2010-04-01,10.145251,45637.17,42486.88,0.0,40.738136291503906,-73.14892578125
